EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
923.409091,768.8255323,968.8629121,725.7830465,1370.781482,1450.262556,1397.290623,2381.676333,1290.716571,783.4754915,687.489116,151.0312277,889.816167
706.9458679,942.5961938,799.4680504,603.886014,1050.282413,1147.541012,1092.799898,1976.706163,1072.409745,593.3497092,419.1890885,101.2623975,796.9053271
895.2158143,1106.834958,657.4814962,505.1681708,863.4991667,1085.443749,950.3114221,1757.59032,926.0306661,463.0865124,600.1453494,116.5958619,719.8291254
1135.679929,1150.885207,795.1342272,701.8655236,746.5923197,1742.672122,817.6253884,1552.973515,822.4506313,365.7063336,818.7539592,138.3155184,667.0138619
1212.69668,1249.092739,938.8266071,693.5535907,660.121769,1887.164237,1314.059559,1405.005364,771.9136188,685.3165677,895.1553917,148.1833188,617.7114363
1517.269684,1340.444909,1103.659477,839.8114931,844.2935472,2274.987196,1472.848121,1616.292858,955.4734008,675.9997007,1124.399185,154.7415924,877.6595051
1365.841903,1451.385622,918.1581888,1144.628124,1576.91274,1959.120474,1014.140521,2444.095975,1490.743452,693.1627638,956.9031087,209.1402736,1037.815571
2984.366331,3023.665716,1693.850059,1304.502028,3198.028264,3256.974747,2165.551183,4181.8955,2972.655713,1728.385235,2110.985703,218.864188,1060.379749
3239.394537,3501.488793,1951.018539,1495.467911,3371.511881,3688.997263,2473.367733,4419.419653,3173.489743,1963.936994,2436.274468,298.7183323,1183.461022
2864.541479,3142.006802,1787.854427,1431.001909,3127.481673,3524.332707,2262.333683,3943.651167,2724.452842,1664.891555,2231.482891,269.6930293,1187.667115
2583.27997,2853.165987,1659.305863,1367.660511,2981.872239,3325.761184,2109.485503,3638.227483,2433.857148,1425.840906,2157.073996,252.5328187,1169.160147
2520.87056,2786.755085,1603.268237,1342.242336,3107.572711,3322.159168,2154.848709,3621.195732,2374.675459,1331.356837,2223.972082,242.4254834,1192.988795
2621.671801,2794.006023,1667.024049,1430.987027,3284.939067,3488.542776,2363.048526,3785.5683,2411.650167,1365.654183,2280.963003,245.8319552,1202.966066
2769.068033,2827.358824,1679.373914,1412.990011,3455.437822,3710.333626,2491.168759,3992.244765,2519.217719,1420.939705,2320.591106,256.3085467,1262.914055
2718.037027,2821.644249,1676.368982,1336.786861,3386.222508,3807.239909,2458.585449,4060.91508,2455.010632,1430.547898,2395.021341,261.1861189,1398.747059
2714.004573,2860.643026,1707.067672,1395.011009,3333.904015,3853.468998,2362.912913,4030.230651,2465.084137,1458.06449,2397.129284,270.4376439,1499.099606
