EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
3713.899499,3922.601719,2306.456399,1842.949875,4688.158409,5213.908545,3243.416705,5549.775379,3339.08873,2035.876353,3356.868178,370.3764905,2021.124978
4188.843584,4638.376972,2787.579211,2215.401648,5012.816147,5793.458061,3526.522154,6033.189993,3732.83195,2410.12742,3828.275221,454.5162526,2176.223259
4789.872901,5349.813198,3171.525962,2484.366148,5536.747377,6348.054047,3842.010498,6880.016071,4383.979095,3065.128437,4322.724055,538.1062649,2437.142857
4928.611357,5501.55122,3220.349727,2560.778394,5663.069759,6452.782002,3942.813171,7190.387743,4564.086216,3291.375182,4440.842535,559.9078259,2611.402952
4824.957527,5378.646993,3175.980416,2516.680614,5688.18047,6305.140343,3836.089715,7013.822459,4335.883497,3188.947973,4243.402275,554.8588798,2479.833579
4310.247873,4716.628771,2819.421074,2248.018616,5264.465743,5664.832447,3514.094063,6398.091496,3843.74193,2788.742409,3814.20728,491.8780941,2156.014479
3854.195355,4108.635655,2490.492985,1945.71794,4818.242788,5085.853485,3292.951922,5604.184252,3411.82191,2391.799493,3329.91903,421.1542546,1740.553001
3174.960776,3294.631177,1991.757615,1533.484457,4180.325635,4083.599362,2861.742829,4607.745071,2766.155119,1871.261444,2736.194915,345.7700272,1553.964413
2184.161451,2118.035412,1362.847899,1055.097163,3146.926968,2964.23212,2258.870784,3197.914641,1861.288184,1191.87328,1802.973017,235.5205643,1065.860576
1673.274804,1797.644835,1206.155438,946.9753001,2355.24287,2611.794966,1304.524021,2079.612138,1075.829655,603.9013013,1541.998096,216.7106455,1083.806067
1299.353023,1332.855158,1091.098409,851.8724008,1862.819171,1979.752669,1010.530849,1623.472415,859.1346084,699.666781,1132.819993,184.7401108,999.5104883
1176.059804,1156.338558,1067.601875,839.7710629,1613.171304,1713.063411,951.8219083,1476.308512,782.4590273,775.4726917,910.6693662,184.7191338,1023.25638
1097.74862,1031.97986,1101.349137,866.5030255,1426.038142,1560.844935,1796.94592,1384.818913,1264.708159,808.7596798,767.0074028,191.6724055,1090.143041
1954.253129,2027.622462,1195.084894,916.2058609,1264.727323,2705.173882,1905.329991,1341.025775,1351.882568,927.6861442,1650.770595,214.9542287,1211.188491
2299.117537,1997.243336,1475.042545,1180.511913,1505.993107,3144.902095,2190.342858,1747.582191,1649.784191,1142.729909,1001.651485,240.0266903,1459.490827
1934.841511,2004.607934,2124.997505,1716.551693,2281.386216,4060.653462,1644.540641,3016.105515,1959.1265,1000.059138,1543.228351,324.4346961,1838.599667
3786.523302,4072.630464,2409.151463,1896.468763,4116.084337,4511.791056,3185.536278,5438.020695,3856.338587,2497.147417,3078.428009,325.4081576,2100.168357
4256.740819,4934.022003,2962.156415,2344.373189,4629.385092,5475.236391,3834.193418,5767.96089,4198.750163,2944.522284,3784.227615,461.2772736,2486.472154
3841.894176,4650.850505,2888.052832,2408.801616,4437.602503,5517.670755,3651.60459,5183.129282,3687.769513,2630.379648,3736.40565,442.882752,2446.091736
3263.60348,4081.355448,2585.193547,2264.537929,4053.663982,5176.360493,3485.759118,4578.784888,3152.845002,2170.72039,3411.855517,401.9265519,2380.229727
2729.006733,3447.008538,2291.729208,1982.248056,3711.74273,4824.605089,3423.463262,4005.924911,2586.806471,1755.588575,2995.252665,357.9525686,2103.664225
2552.004147,3236.629614,2223.421733,1903.744608,3582.41421,4718.828405,3680.535556,3694.880688,2387.676908,1542.413883,2780.403503,329.5822883,1953.325417
2634.471988,3214.152696,2228.029058,1900.554153,3604.928041,4708.825102,3735.190531,3738.053065,2392.105006,1562.236755,2735.079698,318.1760701,1922.039942
2568.836782,3199.381574,2234.824517,1942.897404,3442.774916,4695.337215,3649.958905,3594.468728,2329.220797,1518.102295,2682.802825,331.3890842,1916.368575
2756.980741,3500.175859,2375.739346,2103.032464,3541.293718,4769.355773,3632.130082,3748.357419,2547.476344,1648.202994,2899.5291,326.8342302,2078.065224
3725.184497,4795.876835,3122.776135,2769.156558,4349.851147,5995.664182,4296.106521,5000.173266,3358.845468,2260.554775,3919.667077,469.8328385,2650.395873
4989.580631,6248.295888,3855.63124,3333.015516,5558.155222,7494.66171,4972.148488,6693.178561,4700.942666,3479.893608,5058.10823,646.2895939,3369.344123
5358.065178,6741.492111,4069.070303,3449.448727,5992.172004,8037.586098,5189.878087,7498.691657,5168.725376,4061.490712,5413.128042,712.681916,3690.77621
5371.397283,6772.248653,4138.50928,3529.676127,6188.875686,8147.218945,5265.277543,7429.640098,4977.729896,3965.46795,5456.037842,721.537354,3575.185718
4963.760524,6176.268508,3790.407154,3195.963239,5858.534299,7541.777103,5006.731104,6872.74078,4522.717632,3550.203884,5007.178549,666.4221587,3350.567579
4483.331552,5488.14362,3435.96871,2824.402568,5384.69709,6806.796599,4675.431433,6258.675375,4042.89722,3152.222867,4514.007476,588.8081868,2848.437222
3794.475226,4508.569829,2850.458589,2301.349742,4760.79205,5666.607464,4056.987503,5132.529547,3373.705908,2543.431631,3835.739128,474.0342249,2311.144213
2689.55636,3117.285125,1997.906627,1571.189244,3631.917178,4084.221995,2998.546325,3632.616693,2285.124134,1677.162015,2643.445619,325.7671004,1816.300486
