EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
535.6729363,450.1818474,551.5537028,442.8469908,685.5225596,867.1243107,755.7923085,1254.825372,720.6914672,401.2087319,354.052551,83.73264062,508.34259
431.403387,539.6470323,471.4677374,386.5859575,526.6408291,723.0382808,607.4978624,1057.225827,615.9116139,307.4947402,221.4959789,59.44680957,464.9359891
527.109978,622.6035633,403.1365863,339.8023152,435.1924337,697.251148,539.4032032,951.7802205,546.2725705,243.8068519,311.6857795,67.33638841,429.0933955
652.6508916,647.9578303,475.3364722,442.3381361,377.1047512,1035.222454,479.3451346,857.156715,502.5297878,196.5728785,420.2581911,78.83224353,409.0983907
696.6937538,699.7838433,550.4672319,443.8054609,331.0351398,1119.916078,729.1290762,789.1398593,485.1502086,354.2202945,456.6845398,84.3614112,390.8393369
870.060958,767.4836866,653.9476253,540.1077059,426.7576701,1353.791988,826.6851154,916.590943,599.0175435,354.4669252,575.4840648,90.25189782,538.5464937
810.7702323,837.7338192,578.4760165,709.4878027,787.0592947,1228.725518,612.5979575,1340.078976,880.6675834,364.6755641,493.639492,118.8741092,631.792138
1615.343138,1621.023932,968.3467213,796.0174146,1589.74387,1878.801883,1185.679064,2203.790799,1617.531317,877.3837163,1065.465137,124.2766932,647.048406
1738.512729,1855.54983,1093.659856,888.1828621,1675.754073,2086.589608,1335.471266,2318.48504,1713.603645,993.4314345,1225.999853,163.4037567,705.282688
1548.809242,1673.695934,1008.567697,851.0865301,1556.802241,1995.625902,1227.675203,2079.437754,1486.374532,845.5772062,1125.260941,148.5623685,702.9586762
1402.564101,1522.281247,936.7333379,810.9411262,1482.144428,1884.62994,1145.958434,1920.948916,1335.831273,725.5584595,1085.99743,139.2296472,687.9284303
1362.49258,1481.739833,901.9357985,791.1293713,1540.328685,1866.757819,1160.467534,1902.805974,1297.89586,676.29049,1115.600567,133.151403,692.3610012
1405.82688,1482.179262,930.0164523,830.8563483,1627.533435,1936.570354,1258.00829,1977.692871,1309.320112,692.1686743,1142.745432,134.0954248,691.6414364
1477.196679,1495.190702,932.7365842,818.2855825,1712.27472,2043.071394,1320.171847,2078.507352,1360.729957,719.4392069,1162.465758,139.1112399,719.8578065
1451.099812,1489.262372,927.9696957,776.7837368,1679.544429,2088.491513,1303.488329,2111.876666,1327.575463,724.5284003,1200.001541,141.4313507,785.8301392
1449.616359,1507.157131,941.704787,803.8816274,1653.720669,2112.306559,1256.647786,2097.213939,1333.094091,738.1992786,1201.113851,146.0590895,835.8459672
1629.020907,1771.639147,1118.526718,938.2599066,1785.473578,2330.460648,1367.092065,2282.589165,1479.085194,878.5561389,1380.319367,177.3793121,896.2037342
1847.089324,2030.184975,1259.83691,1038.857767,1973.653122,2534.360309,1482.46145,2588.672322,1715.123195,1113.655175,1558.040593,207.6397395,992.0559344
1896.701568,2085.409604,1277.558822,1065.747314,2020.965951,2570.725719,1518.69895,2700.169977,1778.854036,1195.316366,1601.576698,215.4558552,1053.917777
1866.468033,2047.991542,1264.483559,1048.89556,2046.641818,2523.106231,1487.653851,2647.110564,1699.109799,1165.043275,1541.746451,214.5720403,1009.16064
1675.431856,1803.134017,1129.034385,944.0695574,1893.714071,2281.296584,1366.744822,2419.896773,1516.019497,1020.395393,1386.552687,191.2434771,887.4934964
1506.743965,1581.015364,1006.111773,829.292787,1735.042168,2062.940802,1283.255715,2130.689146,1355.186549,877.8592437,1213.187688,165.3163689,733.6983091
1248.030004,1280.07964,817.7096633,670.3440814,1505.672663,1674.349512,1116.118195,1758.781855,1107.576081,688.9441245,998.2020172,136.5496078,653.2965828
880.7659765,847.3325757,581.5553222,487.383382,1131.107686,1251.41095,889.6212706,1240.997351,771.5874122,442.422519,659.8572709,95.61101451,468.4286971
697.5387287,752.8367893,535.2239806,465.0195256,839.8416957,1115.140708,540.1562228,834.5184761,492.5396667,244.6275244,571.3760456,87.77256682,550.6732153
566.3965909,592.4770041,499.4191123,436.9659998,661.3418711,894.4416435,439.5662175,673.2843071,418.6203165,279.1244815,427.1442138,76.54573253,526.3707909
525.9672237,532.3411558,493.7249112,435.6373749,573.1534241,805.3854827,420.9292225,624.2513426,394.7881534,307.6792782,348.7973029,76.96018136,540.1399874
505.6094067,492.3762763,510.9624008,452.997913,503.2657466,765.6683724,724.8603498,597.9872414,576.6512788,321.1063574,295.0400815,80.16556076,578.4829352
817.0011715,852.41024,549.2035982,478.7501812,435.4084192,1186.840448,763.6121499,584.6901916,616.3110502,362.4051819,607.3708349,88.7012099,636.2085523
970.3906838,879.4403165,682.9326849,609.9929588,526.5598762,1397.36964,895.6079896,758.7435887,753.7011989,449.5691564,390.4390669,100.9440314,770.7424973
857.058268,905.7618191,938.2628055,829.9279501,795.5624894,1758.641677,715.5932403,1226.85103,885.6546169,401.2888982,587.5979327,132.6905505,939.8677782
1527.19847,1656.858812,1049.845409,905.7315418,1455.613268,1932.46133,1275.133293,2101.198338,1571.605846,940.2519691,1140.360978,133.8952235,1043.224721
1692.469649,1963.267636,1245.66564,1062.931009,1641.002641,2271.335626,1506.612542,2216.82329,1690.349373,1099.930344,1393.776238,182.2625973,1175.462788
1539.701317,1855.346109,1212.847947,1078.171811,1577.639189,2277.293417,1437.040052,2004.599753,1501.106052,987.6168163,1375.829047,175.3886035,1150.608017
1322.320028,1636.3551,1091.397425,1012.924324,1435.662136,2137.525552,1365.058173,1777.808231,1299.905453,818.7746419,1252.241657,159.5109261,1113.105947
1117.554788,1395.330026,974.7419216,900.5686902,1306.425194,1989.1589,1330.324313,1559.04222,1085.051231,664.3583994,1094.750811,142.1691309,996.750312
1046.383199,1315.471886,945.7143777,866.4083472,1261.089334,1936.820288,1419.838536,1440.698526,1005.027225,585.9792799,1018.04017,131.2259926,929.5827599
1074.57743,1301.6034,942.2230602,859.6597846,1270.880701,1930.339769,1434.788371,1455.277371,1004.615531,593.1423768,999.419762,127.0552022,915.0889903
1051.00875,1291.631731,940.1107374,869.0805417,1216.702706,1924.296521,1401.361878,1404.583735,980.7653892,578.3535978,980.2920929,131.8916695,910.4128085
1118.966426,1397.20772,988.548276,923.9288267,1251.86173,1951.926404,1393.607253,1460.208889,1059.585789,625.0783012,1057.568918,130.3212108,969.3551983
1474.772294,1869.861141,1261.367162,1163.711672,1556.424099,2403.441462,1642.949601,1919.832331,1355.05338,851.0592055,1435.22796,182.9191018,1179.367413
1930.523944,2394.927058,1528.306589,1370.690454,1989.729406,2945.522276,1888.902211,2528.920623,1838.621116,1288.688921,1844.643574,246.4355658,1441.330843
2062.243414,2572.29824,1604.992761,1411.83306,2147.055949,3138.98392,1968.354157,2817.493744,2005.234568,1497.354178,1973.703812,270.2404668,1554.80803
2073.423259,2589.84648,1633.126712,1439.366245,2233.519752,3185.394883,2005.394057,2801.881018,1938.549003,1469.166663,2000.984286,274.5527507,1513.385057
1920.211603,2366.091661,1499.23691,1309.618398,2113.692225,2955.845206,1904.76262,2595.500662,1768.313028,1317.923436,1836.347346,254.015351,1422.1326
1742.261829,2113.417178,1366.197588,1168.824207,1944.744573,2681.695358,1782.229465,2370.320656,1589.888335,1173.859638,1659.263887,225.6279889,1232.218326
1478.826204,1749.902643,1144.870603,968.0627116,1719.527663,2243.423183,1551.401309,1951.307174,1332.768626,950.4152879,1412.588405,182.7274224,1013.66611
1069.919074,1236.834534,826.5924869,692.7499659,1310.325855,1654.066501,1160.252051,1401.044732,930.3085419,634.973755,978.9397843,128.1046293,818.0646724
756.1419349,873.1083653,501.607874,434.3530823,917.541203,1227.586094,802.7843907,998.7185226,585.1042834,358.39632,653.3039487,68.54588944,606.252573
637.2628304,713.2362713,411.0583353,526.7634998,753.1014638,995.4237266,602.198152,847.9886541,481.1938491,261.1747714,497.0045501,94.47049174,538.2255012
594.3805624,653.2317738,609.1668484,497.853202,652.3819137,880.9389064,529.6103627,794.9883794,480.2068941,239.0262018,430.4537195,89.5892053,501.5857928
559.1521528,609.8806409,598.6540421,494.244968,565.7708518,825.2784163,824.9954728,779.0882854,471.3996683,321.5752222,381.5723329,86.61654229,493.6224994
607.5048908,1030.332875,615.4584637,506.4873859,521.8963841,1308.281002,850.1305432,779.2467364,453.1908626,416.0666115,737.9912951,89.85256555,609.1424727
706.7627879,758.3076251,738.7472999,618.5354204,693.3632426,998.2654526,971.2695839,1012.450482,572.3227811,480.8845909,445.2479291,101.4027099,668.6758918
989.9099138,1032.617017,941.6964997,795.3104204,1043.430656,1260.734839,1193.65593,1413.180919,811.0114805,379.6312683,668.2246307,130.4806214,808.2014994
