EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
1251.476107,1058.727704,1255.872054,928.4168534,1827.196244,1929.838992,1809.571985,3032.223749,1642.414726,1019.452578,952.0542588,199.0368768,1153.333409
1002.877496,1269.649775,1055.265531,784.5111403,1459.058018,1580.335065,1455.011103,2560.746308,1387.276861,798.352211,641.4145514,140.7692191,1047.987791
1229.775048,1467.63083,886.246341,667.2871147,1235.700359,1508.382116,1285.453801,2299.639697,1213.247035,642.6260806,858.599979,159.2960127,956.7643048
1537.487769,1539.026896,1062.896321,908.3754989,1123.342594,2320.447672,1145.091419,2079.286708,1101.286683,537.7670848,1139.467602,187.7864977,904.7011349
1668.167839,1680.461483,1249.791804,904.8337111,1078.760931,2539.528546,1776.626746,1951.501078,1062.872858,945.3011327,1271.027741,204.4812476,866.4661762
2058.940667,1801.791885,1458.627696,1092.158971,1326.536491,3041.307127,1990.492898,2235.304838,1301.840765,946.6649237,1565.042869,215.5168209,1194.776154
1927.921206,1968.2773,1259.288268,1470.964669,2276.486114,2725.713663,1488.783946,3290.812575,1973.785378,997.9001355,1413.820163,287.0342817,1415.113669
3866.544833,3860.157402,2194.766211,1667.083542,4214.570095,4281.805717,2867.504818,5371.496368,3750.02906,2236.739016,2793.954228,298.6114605,1442.744982
4162.715003,4425.602951,2498.42203,1893.75493,4408.93652,4787.732561,3227.387126,5644.194656,3984.94515,2513.217414,3174.440726,393.0967543,1584.922893
3691.138087,3985.328812,2296.42268,1812.675085,4082.707126,4563.185895,2953.063291,5045.387377,3433.814538,2140.748,2906.062172,355.4752242,1577.600769
3354.298235,3639.675847,2140.976555,1733.149809,3913.344558,4323.029679,2770.514939,4680.670668,3084.136263,1856.028074,2819.986828,334.9725476,1554.378064
3282.750749,3566.745045,2076.303424,1700.800206,4075.401232,4319.379331,2828.553358,4665.791222,3012.949983,1747.015508,2907.409025,323.3274963,1583.195133
3389.790591,3565.566729,2146.224731,1803.701827,4269.698704,4500.873696,3065.095311,4845.648667,3048.395641,1780.236319,2963.124553,325.6925332,1587.058005
3559.092088,3603.794318,2159.332589,1780.304309,4462.975895,4757.767727,3211.625969,5083.913753,3173.00255,1841.863502,3003.135861,337.3219195,1654.884326
3485.66177,3589.337095,2150.620863,1686.091355,4360.47983,4859.478133,3160.742709,5150.196683,3089.227103,1845.261349,3079.072937,341.5994519,1811.098468
3482.00309,3633.13856,2185.403426,1754.646388,4299.385983,4916.36896,3047.23193,5114.900941,3102.041576,1878.907204,3082.688667,352.829445,1932.003468
3872.098937,4232.687111,2590.44671,2074.139234,4542.615723,5395.072652,3271.278386,5504.999779,3432.535172,2188.117963,3466.100376,423.0200188,2055.597323
4397.21438,4854.716433,2927.806725,2311.76341,4999.113373,5882.199677,3548.020729,6243.741556,4000.90014,2757.802452,3896.748739,495.9828784,2284.692701
4512.502299,4981.840267,2967.296457,2376.783242,5101.94553,5966.406074,3630.689164,6506.789466,4153.937712,2951.274466,3994.574859,514.2651644,2432.940627
4393.300565,4850.392001,2913.71027,2332.456535,5078.233158,5803.578108,3509.976563,6315.736264,3939.195507,2843.394453,3792.323695,506.1709382,2303.02009
3938.272201,4267.270706,2596.318281,2091.049627,4705.953231,5233.93904,3223.365023,5772.367976,3504.553561,2493.325082,3416.076618,450.5247456,2015.625366
3530.777478,3728.369228,2302.010159,1821.407467,4308.315897,4713.778469,3021.008186,5069.803321,3120.439872,2143.71603,2988.097137,387.7201572,1646.959683
2917.85896,3008.115072,1857.198936,1452.238795,3738.360031,3806.308428,2626.222435,4178.928573,2540.093442,1683.211334,2460.186665,319.4927568,1467.978969
2048.141454,1978.10424,1302.263702,1026.463759,2840.481644,2816.309162,2095.009004,2945.607155,1744.441355,1091.767751,1648.425084,222.6862181,1035.915268
1629.517337,1753.623642,1200.091041,955.7253143,2188.297172,2548.9944,1319.439252,1996.944922,1078.077583,615.1589916,1482.514084,210.8394602,1135.252785
1315.022582,1356.47034,1105.678753,878.8319878,1771.752898,2015.63373,1069.561275,1612.457144,897.3149891,704.2585055,1130.470051,184.4663038,1071.429272
1211.390418,1206.306252,1087.956086,871.1447009,1556.088744,1789.993536,1021.1433,1488.045999,834.0738054,771.3812874,939.0605864,184.8367476,1096.898974
1163.717244,1117.656031,1131.458833,904.3958417,1413.512465,1689.226546,1775.789716,1431.295126,1268.222135,811.6348331,832.8423728,193.5824006,1175.078187
1940.614785,2005.320647,1229.587377,958.6483778,1313.290793,2732.11426,1895.620735,1431.850462,1366.823109,935.409329,1623.593198,218.4437458,1308.335408
2279.385028,2014.41857,1503.869993,1221.968534,1547.230073,3178.631596,2171.405023,1825.94969,1659.965167,1140.349798,1074.995735,245.043142,1572.046217
2013.574782,2065.880692,2103.579782,1717.608407,2271.728883,4051.162008,1741.810725,2984.025955,1966.300795,1045.171649,1579.987259,325.1106651,1949.920404
3625.604034,3875.814893,2362.174169,1885.164067,3863.662625,4451.03983,3092.826923,5090.602394,3618.531761,2346.011896,2921.953295,326.3802245,2184.758636
4024.567339,4616.298917,2836.832785,2270.092872,4299.801007,5273.291017,3648.080226,5366.607036,3908.896898,2729.130252,3527.791251,443.0943668,2511.239469
3643.973111,4357.683031,2762.499034,2317.552061,4110.079531,5279.496605,3476.96233,4835.408204,3450.780866,2444.118499,3476.326719,424.3076627,2458.08464
3135.399562,3853.559576,2490.204253,2180.57443,3777.7717,4971.073855,3326.870904,4304.936568,2979.007224,2043.376662,3193.537399,388.1016372,2389.657197
2665.293677,3299.389711,2230.616681,1926.85882,3485.476688,4653.560483,3273.550298,3802.9958,2479.642273,1682.395016,2837.011997,349.4351004,2136.849342
2495.873166,3105.087313,2162.436535,1851.707662,3359.511882,4536.914121,3484.770741,3515.712262,2294.219641,1488.97866,2640.475049,322.7559568,1989.608594
2560.907678,3080.2095,2161.701807,1843.773642,3371.552126,4518.384815,3527.972481,3545.650134,2293.423264,1502.233444,2598.91727,311.945679,1956.651096
2494.200302,3057.622346,2160.011221,1874.220789,3217.885831,4492.595231,3444.227307,3409.462278,2232.530435,1457.586838,2545.707998,322.0226568,1944.302926
2658.858507,3314.834912,2279.253288,2010.592685,3304.596837,4558.907887,3424.880347,3544.51008,2423.053321,1571.245806,2730.849507,318.2390414,2086.053777
3477.746782,4416.092152,2912.931858,2584.130836,3969.063586,5594.594626,3970.85287,4603.859011,3116.283004,2086.426238,3584.58153,439.0178855,2572.083815
4578.997467,5682.688893,3553.972516,3078.572453,5019.847946,6901.896012,4562.532914,6077.305056,4284.716504,3146.575677,4575.885052,592.6347684,3200.83135
4893.745763,6105.765362,3735.867629,3178.053073,5389.95121,7365.735863,4745.339152,6770.561516,4687.457923,3648.200415,4877.904372,649.5392652,3475.85887
4876.481758,6105.265805,3778.413193,3240.322298,5516.340145,7420.884113,4777.007342,6675.185369,4504.969021,3544.408994,4880.766525,652.9072052,3357.513478
4513.994109,5577.057427,3466.901556,2940.886686,5224.920953,6880.929733,4543.565747,6182.862844,4102.171188,3180.087369,4485.804943,604.0242038,3151.547535
4084.988041,4966.316447,3148.840033,2609.706784,4803.262606,6224.05181,4242.64217,5636.722619,3676.094478,2828.276606,4046.947725,535.0939732,2702.923557
3462.737426,4098.890726,2626.496695,2142.159332,4245.102656,5194.75573,3690.392028,4633.431763,3074.368422,2288.12412,3447.529241,432.4346536,2207.815603
2493.162644,2879.459489,1875.707749,1495.828138,3263.805667,3802.562135,2763.190186,3321.490987,2118.549068,1532.639993,2409.266907,302.5994696,1762.241982
1798.911604,2043.732039,1113.748718,884.2138066,2412.894132,2855.658821,1924.513549,2334.899994,1315.798129,894.4837753,1695.894078,164.7534741,1327.041347
1502.970357,1647.086656,886.1406199,1099.601742,2013.036318,2279.710231,1430.578877,1958.025059,1063.062065,664.5472216,1314.399746,226.6963978,1159.897052
1394.909985,1496.878935,1362.494093,1025.074794,1767.841217,1995.308616,1250.543376,1823.530406,1055.480306,608.6190089,1151.473628,214.3551945,1064.542979
1323.154831,1401.512725,1338.905316,1007.707956,1595.860789,1871.660044,1982.527604,1798.60038,1028.712104,817.1975298,1060.331083,209.349441,1036.286623
1461.864902,2437.992901,1385.499503,1029.467226,1540.814488,3063.583056,2067.373514,1821.86513,989.4770467,1071.711418,1962.433808,220.5297458,1317.884208
1648.342803,1716.874322,1631.643095,1246.894675,1937.511978,2223.835933,2307.454857,2309.142081,1241.262706,1222.577659,1227.715444,241.721422,1413.864874
2331.895407,2369.905172,2103.388141,1638.511728,2835.983704,2838.828221,2846.740714,3267.153146,1810.267014,1000.766405,1799.271408,312.5808465,1734.167105
3514.406838,3603.949571,2124.243252,1698.918184,3638.024731,3978.263609,2866.604169,5141.49969,3235.893488,2111.935268,2750.299321,302.3538207,1663.806564
4384.596892,4838.220447,2813.864775,2202.01317,4383.87029,5195.37472,3802.111159,6182.496134,4147.605923,2883.228745,3677.294732,438.8992472,1986.550859
4188.662822,4812.068794,2941.897249,2293.145014,4400.712781,5412.381441,3961.637843,6042.287603,3843.720093,2701.356537,3810.705449,468.4052754,2073.01157
3736.965985,4391.837061,2680.298205,2171.962033,4242.328423,5161.404181,3749.318071,5664.573375,3255.014609,2276.034805,3670.560384,432.5376566,2065.524989
3401.750513,4039.130071,2483.511631,2008.658894,4163.677025,4900.598823,3552.79173,5329.98988,2858.141461,1965.566416,3566.590035,399.1776416,1997.032817
3396.010358,4091.247328,2525.242507,1951.596236,4219.327901,5001.620282,3395.325129,5164.259655,2722.955013,1873.082965,3601.596928,391.2935156,1910.925605
3566.92549,4174.219024,2535.93853,1897.857779,4287.132445,4997.122503,3185.297219,5165.95197,2757.281357,1918.048386,3671.821424,389.6447734,2076.293149
3488.52058,4076.428308,2417.945047,1801.857413,4193.016297,4840.867631,3025.635351,4964.484823,2674.143578,1963.77835,3550.217583,370.5463611,2108.257575
3493.055615,3969.396073,2413.120069,1789.288025,4216.116784,4701.383214,3110.854503,5076.226307,2711.978462,2035.06173,3504.238734,371.4491753,2065.435082
3963.742179,4691.841484,2853.635304,2353.164972,4546.168501,5575.177416,3791.191155,5584.038863,3221.178231,2411.946272,3912.89545,461.0938402,2416.439404
4680.806849,5814.110629,3493.783875,2966.854732,5261.605481,6740.014168,4636.020993,6602.715998,4135.694398,3129.717737,4709.739122,606.6046324,2851.532161
5015.509385,6194.415143,3728.36385,3136.444865,5516.41623,7199.255666,5011.718728,7008.649785,4423.245404,3407.258139,4986.218748,663.7353422,3057.817817
5047.011559,6302.927686,3813.25377,3230.44764,5648.352265,7279.1828,5044.419404,6980.573404,4327.48001,3373.194683,5017.387908,667.1940212,3143.629392
4721.273461,5809.513626,3570.914554,2959.573848,5431.406387,6786.659475,4785.704117,6552.373529,3951.068268,3064.187333,4661.4731,618.0009681,2841.264638
4365.743298,5324.277367,3300.246866,2665.755501,5103.14227,6225.320753,4491.024359,6091.743224,3609.683131,2736.407936,4208.472447,549.6358976,2445.040694
3764.673297,4498.289564,2843.149828,2226.943929,4586.24779,5372.612268,3979.021235,5361.203409,3014.907977,2253.94456,3640.704283,457.589364,2028.191704
2798.146226,3259.948013,2119.192652,1624.49724,3648.795723,4100.310497,3099.17078,3993.538862,2250.763181,1548.506526,2670.820641,339.3370081,1437.939653
1671.649202,1918.547288,1271.38725,974.8152098,2272.998216,2567.238245,2127.034931,2637.279695,1352.37777,880.786321,1453.739118,207.9668584,1078.656986
1399.484768,1521.537246,1018.313908,779.7045236,1909.919468,2073.891693,1705.233577,2218.175812,1137.974496,700.9893067,1136.586221,181.8008983,910.4952738
1328.564386,1455.528542,918.0585391,1173.388572,1697.099499,1904.525517,1507.763711,2039.678494,1075.650929,642.9901618,1027.109815,205.0352252,1098.665748
1266.664273,2008.016984,1504.922271,1167.18605,1602.648862,2984.480873,1404.624141,1962.531361,1071.023079,645.8403885,1852.578343,256.6771981,1179.504657
2313.167724,2583.480213,1581.610214,1175.873291,1548.334304,3179.368359,2323.947308,1943.198044,1098.153612,1144.81524,2000.675744,270.1595359,1270.38512
1684.229947,1799.930634,1841.640197,1428.226869,1909.756796,3818.823803,1571.369058,2181.821637,1309.866181,1347.803539,1279.283894,299.9126785,1490.684294
2656.442314,2867.888162,2307.094372,1835.841439,3200.278118,3560.895843,1925.320122,3128.988881,1807.375196,1133.034916,2177.058158,359.656407,1802.384538
3771.394652,4053.495668,2290.944686,1812.261961,3981.086554,4502.355904,3124.664244,4998.418541,3320.446302,2248.366184,2958.701907,331.9332423,1767.475654
4811.632841,5370.909118,3062.402034,2408.095423,4833.096324,5856.873763,4068.017957,6148.993751,4320.948397,2999.412003,4033.911569,483.3821612,2095.190113
4853.406973,5818.743042,3351.696757,2677.485559,5062.280825,6419.320215,4231.471706,6144.92333,4194.439135,2934.593229,4469.095713,537.4704075,2232.913575
4579.689507,5624.234593,3230.046248,2683.40657,4995.521535,6478.851823,4033.977943,5776.944415,3797.915865,2605.752915,4508.293834,528.6558126,2293.214622
4201.80424,5093.485285,2905.365157,2457.208066,4999.649612,6187.360967,3823.030717,5459.317427,3479.184415,2355.153007,4292.556894,480.6431179,2256.207297
4070.369577,4753.548175,2687.219624,2272.994927,5018.050935,5907.491757,3712.672886,5336.902701,3332.94533,2309.205183,4103.104422,421.9722775,2378.113441
4113.325264,4484.727331,2520.61444,2092.424922,5082.012358,5587.528613,3704.599277,5368.717568,3431.853681,2368.138098,4035.073248,405.5104983,2442.954703
4006.356424,4276.21371,2415.113975,1995.127267,4974.223243,5249.765576,3792.325848,5307.156853,3397.503546,2326.402341,4072.254157,373.1065631,2442.781501
4094.418677,4482.538589,2501.043747,2081.149262,4993.999948,5383.315052,3912.615911,5406.648584,3501.814464,2338.580241,4321.918111,403.0523232,2521.583611
4712.769901,5671.179186,3197.106826,2735.382412,5339.199906,6439.658631,4392.875648,6162.734386,3941.656465,2746.195215,4835.314132,520.0227112,2941.14809
5333.479043,6650.250243,3841.518534,3219.106903,5932.280597,7791.464037,4897.523656,7171.59671,4694.288087,3466.927884,5335.700511,683.7232694,3288.152413
5552.714599,6931.625378,4032.83251,3313.911988,6132.627465,8267.959212,5032.62335,7580.454559,4854.943719,3784.232798,5450.37323,711.8047412,3367.296074
5520.163443,6945.371716,4134.928582,3394.214357,6273.654288,8353.792831,5051.622604,7406.515728,4667.298193,3598.750995,5405.187755,723.1065789,3324.273333
5157.778662,6422.617914,3892.915885,3113.11193,5994.104159,7782.189374,4734.045232,6967.318381,4275.167171,3249.978211,5014.204152,653.2505359,2984.216475
4709.015393,5769.455404,3548.761882,2766.493375,5574.23471,6985.449033,4327.861733,6337.737966,3842.095902,2851.718586,4545.431817,584.5027177,2481.282419
3972.344992,4697.045142,2915.826985,2247.992791,4877.914999,5740.258035,3655.469455,5215.992712,3166.040701,2279.792821,3771.536373,477.5804989,1858.60748
2800.654162,3191.630128,2007.338075,1584.635403,3686.269279,4092.215642,2720.950378,3687.654612,2106.106514,1464.26081,2558.049555,327.169305,1366.212803
1434.02765,1737.326377,1232.032665,976.2159812,2012.920933,2364.304401,1886.057907,2534.991494,1254.340573,879.7222967,1300.36511,187.1291946,978.1084508
1193.376563,1481.494642,1016.546096,841.384749,1633.21902,1998.116308,1508.318697,2131.397609,1044.035349,694.7485235,1020.521057,219.1269231,1108.890579
1131.574304,1473.447931,1527.266573,1232.269805,1483.024125,2773.604012,1400.307792,2056.300623,1064.058702,663.6100166,944.9156412,248.7395411,1094.643058
1869.886301,2346.168766,1575.838456,1275.776408,1423.081823,2875.181447,1354.606431,2078.303681,1125.330618,911.9701431,1704.328819,261.0248025,1188.785469
2039.766576,2494.097174,1646.591,1331.385369,1409.281152,3045.924198,2238.078494,2168.258545,1154.289961,1207.919642,1816.398423,287.4193198,1279.392128
2510.599126,2734.936096,1996.905038,1643.820156,1816.961113,3711.502118,1623.024152,2775.544532,1481.664468,1458.955502,1902.423266,328.2002312,1553.250977
2416.947011,3011.052422,1857.958147,1510.992392,2956.773403,3541.175415,2211.004308,4294.994316,2306.974198,1480.680279,2091.113995,411.4565595,2021.820644
4785.89484,5608.664951,3335.837868,2606.555989,5409.377057,6239.26701,3903.285282,6899.370459,4428.193714,3061.085097,4327.004567,471.2430162,2188.765649
5426.534461,6630.889973,3947.288809,3208.74362,6045.82792,7538.819193,4620.686778,7580.119592,4885.5159,3533.880204,5171.61935,600.3422503,2574.909398
4664.370043,5954.260887,3616.445868,3000.166399,5315.851074,6966.199943,4146.33535,6517.287754,3958.104997,2992.155165,4686.713113,572.1000002,2440.728429
3897.120641,5076.988228,3060.362516,2644.885605,4506.500865,6116.712626,3541.154118,5487.304929,3185.283322,2387.578447,4047.701797,473.6340896,2229.252538
3418.225474,4425.280071,2686.195427,2272.069733,4186.549042,5407.433369,3231.402309,4947.529539,2743.644268,1997.188257,3620.028993,417.7577588,2193.126587
3232.090993,4085.093454,2491.312666,2091.430462,4046.235412,5025.986611,3116.573565,4661.344883,2634.881337,1847.703417,3354.249348,376.8963512,2124.896808
3306.80688,3897.964736,2379.730244,2001.634093,4095.434271,4888.286895,3116.993481,4741.246015,2710.019624,1900.588784,3273.452832,381.1381663,2162.975289
3243.013031,3824.011052,2318.504706,1983.382953,3983.040803,4846.056663,3160.283577,4687.246652,2709.853306,1940.565387,3323.074905,372.6001212,2137.631621
3312.527407,4087.264373,2436.47709,2121.149874,4029.396434,4946.177129,3203.960665,4828.012131,2828.403415,2034.170253,3512.863661,392.0314357,2208.388015
3963.641385,5116.801975,3163.796823,2658.324212,4517.768854,5986.403515,3772.148544,5526.495188,3407.702164,2452.663884,4132.291421,485.0879865,2625.07365
4866.163821,6394.921892,3913.864974,3211.481408,5359.173929,7437.603641,4505.921766,6800.241335,4366.188626,3372.041871,4938.740864,627.6662908,3008.14841
5227.106068,6757.738757,4184.196903,3386.495614,5756.300384,8054.238913,4843.091707,7381.551516,4683.517103,3827.375171,5230.876934,687.5130559,3136.181999
5252.738491,6819.869322,4242.120325,3479.220666,5977.125476,8162.494913,4880.292899,7364.344401,4527.452999,3730.604992,5238.955337,703.2611325,3149.552162
4809.324303,6149.640255,3799.075775,3178.063605,5687.624202,7508.697438,4546.425299,6600.602668,4020.334196,3294.679528,4797.757873,641.5761424,2805.500032
4267.454493,5383.861214,3367.759325,2780.72612,5213.685919,6656.633347,4089.402702,5753.890466,3520.761965,2863.235853,4249.274657,552.6277042,2346.713342
3470.58438,4324.09308,2689.173312,2188.563912,4427.531646,5445.78754,3410.385946,4721.625985,2829.924694,2210.560559,3436.249833,444.8992582,1889.424568
2375.400206,2896.84035,1829.837663,1487.624904,3260.968292,3770.411722,2466.26739,3303.830677,1870.378788,1414.697048,2266.228739,279.9828426,1407.618836
1704.124175,2071.375458,1057.650452,888.3362448,2311.607453,2602.708816,1613.425475,1986.723901,1132.138493,826.5940299,1494.631376,261.0747348,1036.557526
1430.145677,1712.043065,1434.668049,1181.460682,1890.70248,2186.803937,1247.265753,1652.574554,931.8124782,658.1406017,1232.757401,235.2508512,893.6953106
1390.42705,1705.353246,1398.475675,1139.620346,1746.916479,2071.361088,1835.909873,1600.906014,936.4254345,623.8272957,1148.903716,239.7568889,1075.971074
1418.432666,1718.980891,1460.662336,1166.161659,1717.199914,3069.262898,1919.103818,1639.018188,951.3977347,1030.769139,1147.386595,246.0418306,1185.338615
1389.442697,1683.848143,1528.272521,1251.273744,1721.414869,3265.637044,2057.7273,1693.318382,1545.92934,1122.958985,2055.431662,272.5587207,1288.895259
1812.231019,2293.809917,1907.591387,1588.978601,2177.56272,2685.313974,2434.535054,2215.773235,1262.785863,1385.790019,1603.785482,319.1674356,1575.938904
2836.807402,3507.958352,1790.290519,1513.07567,3492.01068,3908.332895,2206.298787,3490.905114,2170.009573,1369.389887,2562.197239,432.66968,1534.786718
4551.160727,5309.632622,3180.44251,2608.918905,5022.110659,6021.418697,3958.808382,6138.987025,4179.315538,2951.130299,4085.282754,474.5221427,2156.922913
5036.717478,6095.069274,3689.191051,3134.397615,5678.538099,7127.601345,4672.968247,6521.876069,4527.555018,3366.026977,4807.851684,618.6466295,2505.184215
4056.347654,5027.73689,3156.588171,2723.080194,4721.518446,6272.205246,4142.765149,5254.701188,3509.005649,2656.865187,4005.842302,551.4192573,2295.276022
3194.831344,4060.776151,2573.779994,2236.248251,3831.63133,5410.496619,3580.135539,4253.076173,2651.446624,2068.785123,3294.516912,462.2629457,2017.077723
